2018 Jul 30 00:37:29,452: INFO : Jumo Loan Processor | com.loanProcessor.com.utils.Logging | Loggers initialized...
2018 Jul 30 00:37:29,460: INFO :  ############# BEGIN PROCESSIONG ################# : /Users/kamauwamatu/IdeaProjects/CrackJumo/Loans.csv
2018 Jul 30 00:37:29,460: INFO :  Retrieve File Name : /Users/kamauwamatu/IdeaProjects/CrackJumo/Loans.csv
2018 Jul 30 00:37:29,460: INFO : Jumo Loan Processor | main |   /Users/kamauwamatu/IdeaProjects/CrackJumo/Loans.csv
2018 Jul 30 00:37:29,469: INFO : Jumo Loan Processor | main |  Parsing  Loans 
2018 Jul 30 00:37:29,475: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 1:Mar:Loan Product 1 ]
2018 Jul 30 00:37:29,479: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 1:Mar:Loan Product 1= [count=1, sum=1000.0]} ]
2018 Jul 30 00:37:29,479: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 2:Mar:Loan Product 1 ]
2018 Jul 30 00:37:29,479: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:37:29,479: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 3:Mar:Loan Product 2 ]
2018 Jul 30 00:37:29,480: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 3:Mar:Loan Product 2= [count=1, sum=2084.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:37:29,480: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 3:Mar:Loan Product 2 ]
2018 Jul 30 00:37:29,480: INFO : Jumo Loan Processor | main |  Found Existing Key in Hash Map With Key [ Network 3:Mar:Loan Product 2 ]
2018 Jul 30 00:37:29,480: INFO : Jumo Loan Processor | main |  New Count: [1 ] New Sum [ 2084.0 ]
2018 Jul 30 00:37:29,481: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 2:Apr:Loan Product 1 ]
2018 Jul 30 00:37:29,481: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:37:29,481: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 3:Apr:Loan Product 3 ]
2018 Jul 30 00:37:29,481: INFO : Jumo Loan Processor | main |  Added New Tuple to Hash Map [ {Network 2:Apr:Loan Product 1= [count=1, sum=5671.0], Network 3:Apr:Loan Product 3= [count=1, sum=1928.0], Network 3:Mar:Loan Product 2= [count=2, sum=5182.0], Network 1:Mar:Loan Product 1= [count=1, sum=1000.0], Network 2:Mar:Loan Product 1= [count=1, sum=1122.0]} ]
2018 Jul 30 00:37:29,482: INFO : Jumo Loan Processor | main |  Tuple Key Pair [ Network 2:Apr:Loan Product 3 ]
